Pfolio ,SecurityShortName    ,Security ,SectorLevel4         ,MaturityDate ,Duration ,YieldtoMaturity ,Units             ,UnitCost      ,TotalCost         ,MarketPrice      ,CleanMarketValue  ,All-InMarketValue ,Appreciation      ,AccruedInterest   ,%Sector ,%Pfolio ,ValuationDate ,TYPE
ANGUN ,PIKNPAY             ,PIK     ,Equity              ,          ,000.00,      ,00000012753.00,00000054.55,00000695652.29,0000062.390000,00000795659.67,00000795659.67,00000100007.38,              ,000.79,000.56,08/08/2017,OS00
ANGUN ,MR PRICE GROUP LTD  ,MRP     ,Equity              ,          ,000.00,      ,00000005601.00,00000164.96,00000923926.95,0000176.000000,00000985776.00,00000985776.00,00000061849.05,              ,000.98,000.69,08/08/2017,OS00
ANGUN ,FOSCHINI GROUP LTD  ,TFG     ,Equity              ,          ,000.00,      ,00000001850.00,00000145.00,00000268250.00,0000152.070000,00000281329.50,00000281329.50,00000013079.50,              ,000.28,000.20,08/08/2017,OS00
ANGUN ,NASPERS -N-         ,NPN     ,Equity              ,          ,000.00,      ,00000001542.00,00001597.07,00002462675.81,0002895.000000,00004464090.00,00004464090.00,00002001414.19,              ,004.42,003.15,08/08/2017,OS00
ANGUN ,SUN INTERNATIONAL   ,SUI     ,Equity              ,          ,000.00,      ,00000007272.00,00000092.16,00000670197.13,0000057.810000,00000420394.32,00000420394.32,-0000249802.81,              ,000.42,000.30,08/08/2017,OS00
ANGUN ,TSOGO SUN HOLDINGS  ,TSH     ,Equity              ,          ,000.00,      ,00000047868.00,00000026.05,00001246882.83,0000022.660000,00001084688.88,00001084688.88,-0000162193.95,              ,001.07,000.76,08/08/2017,OS00
ANGUN ,FAMBRANDS           ,FBR     ,Equity              ,          ,000.00,      ,00000007367.00,00000079.43,00000585160.38,0000126.100000,00000928978.70,00000928978.70,00000343818.32,              ,000.92,000.65,08/08/2017,OS00
ANGUN ,MTN GROUP           ,MTN     ,Equity              ,          ,000.00,      ,00000023070.00,00000111.09,00002562945.36,0000120.650000,00002783395.50,00002783395.50,00000220450.14,              ,002.76,001.96,08/08/2017,OS00
ANGUN ,VODACOM GROUP       ,VOD     ,Equity              ,          ,000.00,      ,00000008174.00,00000129.00,00001054408.88,0000184.140000,00001505160.36,00001505160.36,00000450751.48,              ,001.49,001.06,08/08/2017,OS00
ANGUN ,BARCLAYS AFRICA     ,BGA     ,Equity              ,          ,000.00,      ,00000014748.00,00000135.68,00002001001.83,0000151.080000,00002228127.84,00002228127.84,00000227126.01,              ,002.21,001.57,08/08/2017,OS00
ANGUN ,FRSTRND             ,FSR     ,Equity              ,          ,000.00,      ,00000060458.00,00000026.41,00001596922.33,0000054.800000,00003313098.40,00003313098.40,00001716176.07,              ,003.28,002.33,08/08/2017,OS00
ANGUN ,STANDARD BANK       ,SBK     ,Equity              ,          ,000.00,      ,00000004463.00,00000152.37,00000680032.73,0000164.310000,00000733315.53,00000733315.53,00000053282.80,              ,000.73,000.52,08/08/2017,OS00
ANGUN ,SANTAM              ,SNT     ,Equity              ,          ,000.00,      ,00000004452.00,00000224.28,00000998480.70,0000249.000000,00001108548.00,00001108548.00,00000110067.30,              ,001.10,000.78,08/08/2017,OS00
ANGUN ,OM PLC              ,OML     ,Equity              ,          ,000.00,      ,00000060129.00,00000040.70,00002447299.12,0000035.310000,00002123154.99,00002123154.99,-0000324144.13,              ,002.10,001.50,08/08/2017,OS00
ANGUN ,SANLAM              ,SLM     ,Equity              ,          ,000.00,      ,00000020907.00,00000045.96,00000960979.11,0000070.020000,00001463908.14,00001463908.14,00000502929.03,              ,001.45,001.03,08/08/2017,OS00
ANGUN ,HYPROP              ,HYP     ,Equity              ,          ,000.00,      ,00000004050.00,00000111.93,00000453329.20,0000117.750000,00000476887.50,00000476887.50,00000023558.30,              ,000.47,000.34,08/08/2017,OS00
ANGUN ,ALEXANDER FORBES HLD,AFH     ,Equity              ,          ,000.00,      ,00000155349.00,00000007.78,00001209215.56,0000006.810000,00001057926.69,00001057926.69,-0000151288.87,              ,001.05,000.75,08/08/2017,OS00
ANGUN ,LONG4LIFE           ,L4L     ,Equity              ,          ,000.00,      ,00000066064.00,00000005.00,00000330320.00,0000006.270000,00000414221.28,00000414221.28,00000083901.28,              ,000.41,000.29,08/08/2017,OS00
ANGUN ,AFRICAN PHOENIX INV ,AXL     ,Equity              ,          ,000.00,      ,00000061670.00,00000017.18,00001059448.23,0000000.720000,00000044402.40,00000044402.40,-0001015045.83,              ,000.04,000.03,08/08/2017,OS00
ANGUN ,EPE CAPITAL PARTNERS,EPE     ,Equity              ,          ,000.00,      ,00000062703.00,00000010.00,00000627030.00,0000008.600000,00000539245.80,00000539245.80,-0000087784.20,              ,000.53,000.38,08/08/2017,OS00
ANGUN ,LIBERTY TWO DEGREES ,L2D     ,Equity              ,          ,000.00,      ,00000062316.00,00000010.00,00000623160.00,0000009.470000,00000590132.52,00000590132.52,-0000033027.48,              ,000.58,000.42,08/08/2017,OS00
ANGUN ,BRAIT               ,BAT     ,Equity              ,          ,000.00,      ,00000006158.00,00000100.73,00000620269.45,0000060.750000,00000374098.50,00000374098.50,-0000246170.95,              ,000.37,000.26,08/08/2017,OS00
ANGUN ,INV PLC             ,INP     ,Equity              ,          ,000.00,      ,00000014235.00,00000080.91,00001151709.01,0000100.060000,00001424354.10,00001424354.10,00000272645.09,              ,001.41,001.00,08/08/2017,OS00
ANGUN ,ENTERPRISE OUTSOURC.,EOH     ,Equity              ,          ,000.00,      ,00000003516.00,00000155.50,00000546738.00,0000102.800000,00000361444.80,00000361444.80,-0000185293.20,              ,000.36,000.25,08/08/2017,OS00
ANGUN ,STNLIB HI ALPHA A   ,SHAGEF  ,Equity              ,          ,000.00,      ,00000001788.78,00009357.73,00016738923.24,0018023.288217,00032239710.11,00032239710.11,00015500786.87,              ,031.95,022.72,08/08/2017,OS03
ANGUN ,STNLIB GLOBAL PROP B,STGPFB  ,Equity              ,          ,000.00,      ,00000000035.81,00030608.22,00001096049.70,0031640.936188,00001133030.33,00001133030.33,00000036980.63,              ,001.12,000.80,08/08/2017,OS03
Equity                                                                                                                           ,,,,,,,,,,,00100919714.32,00100919714.32,              ,              ,100.00,071.12,          ,
ANGUN ,R186 10.5 211226    ,R186    ,Fixed Interest      ,21/12/2026,006.04,008.56,00000451802.00,00000107.58,00000486038.52,0000008.560000,00000507392.75,00000513761.31,00000027722.79,00000006368.56,001.56,000.36,08/08/2017,FI00
ANGUN ,R2044 8.75 310144   ,R2044   ,Fixed Interest      ,31/01/2044,009.49,009.86,00000185267.00,00000086.89,00000160976.92,0000009.860000,00000166030.49,00000166430.20,00000005453.28,00000000399.71,000.50,000.12,08/08/2017,FI00
ANGUN ,STNLIB INCOME B1    ,SIB1    ,Fixed Interest      ,          ,000.00,      ,00008275755.56,00000001.36,00011287459.63,0000001.366960,00011312626.81,00011312626.81,00000025167.18,              ,034.26,007.97,08/08/2017,OS03
ANGUN ,STNLIB GLB BND SM A ,SINGLMAN,Fixed Interest      ,          ,000.00,      ,00000000073.31,00018594.79,00001363165.33,0019907.009610,00001459363.03,00001459363.03,00000096197.70,              ,004.42,001.03,08/08/2017,OS03
ANGUN ,STLIB PRUD BOND ABIL,SPBAR   ,Fixed Interest      ,          ,000.00,      ,00000053995.76,00000001.06,00000056969.15,0000001.243969,00000067169.05,00000067169.05,00000010199.90,              ,000.20,000.05,08/08/2017,OS03
ANGUN ,STANLIB PRUD BOND   ,SPBB2   ,Fixed Interest      ,          ,000.00,      ,00019064002.36,00000001.03,00019548735.75,0000000.982537,00018731087.69,00018731087.69,-0000817648.06,              ,056.73,013.20,08/08/2017,OS03
ANGUN ,STNLB INC ABL RETENT,STIAR   ,Fixed Interest      ,          ,000.00,      ,00000495717.77,00000001.40,00000695640.77,0000001.546052,00000766405.45,00000766405.45,00000070764.68,              ,002.32,000.54,08/08/2017,OS03
Fixed Interest                                                                                                                   ,,,,,,,,,,,00033010075.27,00033016843.54,              ,              ,100.00,023.27,          ,
ANGUN ,BNY MELLON USD      ,BNYUSD  ,Money Market        ,          ,      ,      ,              ,           ,00000145904.90,              ,00000145904.90,00000184882.63,00000038977.73,00000000000.00,003.04,000.13,08/08/2017,ZL01
ANGUN ,STANDARD BANK ZAR   ,STDCUR01,Money Market        ,          ,      ,      ,              ,           ,00001234169.41,              ,00001232338.23,00001234169.41,00000000000.00,00000001831.18,020.31,000.87,08/08/2017,ZL01
ANGUN ,STANDARD BANK ZAR - ,STDCUR01,Money Market        ,          ,      ,      ,              ,           ,00000816935.52,              ,00000816935.52,00000816935.52,00000000000.00,00000000000.00,013.44,000.58,08/08/2017,ZL06
ANGUN ,SAFEX VARIATION MARG,XMARVAR ,Money Market        ,          ,      ,      ,              ,           ,00001431007.31,              ,00001431007.31,00001431007.31,00000000000.00,00000000000.00,023.55,001.01,08/08/2017,ZL01
ANGUN ,FIDELITY USD FUND A ,FIDUSD  ,Money Market        ,          ,000.00,      ,00000000013.56,00131597.25,00001784458.73,0135580.994164,00001838478.30,00001838478.30,00000054019.57,              ,030.25,001.30,08/08/2017,OS03
ANGUN ,STNLB INST MMARKT B4,SIMMB4  ,Money Market        ,31/12/2050,002.48,040.00,00000570693.18,00000001.00,00000570693.18,0000001.000000,00000570693.18,00000571671.31,00000000978.13,00000000978.13,009.41,000.40,08/08/2017,FI02
Money Market                                                                                                                     ,,,,,,,,,,,00006035357.44,00006077144.48,              ,              ,100.00,004.28,          ,
ANGUN ,DTOPU7 FUT 21/09/17 ,DTOPU7  ,Derivatives         ,21/09/2017,000.00,      ,-0000000189.00,00000000.00,00000000000.00,0011158.000000,00000020790.00,00000020790.00,00000020790.00,              ,162.56,000.01,08/08/2017,FU10
ANGUN ,SEP17 YPZQ FUTURE   ,YPZQU7  ,Derivatives         ,15/09/2017,000.00,      ,00000000045.00,00000000.00,00000000000.00,0000133.192600,-0000008000.87,-0000008000.87,-0000008000.87,              ,-62.56,-00.01,08/08/2017,FU10
Derivatives                                                                                                                      ,,,,,,,,,,,00000012789.13,00000012789.13,              ,              ,100.00,000.01,          ,
ANGUN ,NEW GOLD            ,GLD     ,Unit Trusts & Pooled,          ,000.00,      ,00000011884.00,00000145.21,00001725685.79,0000157.880000,00001876245.92,00001876245.92,00000150560.13,              ,100.00,001.32,08/08/2017,OS00
Unit Trusts & Pooled                                                                                                             ,,,,,,,,,,,00001876245.92,00001876245.92,              ,              ,100.00,001.32,          ,
ICB Prime Sector                                                                                                                 ,,,,,,,,,,,00141854182.08,00141902737.39,              ,              ,      ,100.00,          ,
ANGLO UNION                                                                                                                      ,,,,,,,,,,,00141854182.08,00141902737.39,              ,              ,      ,100.00,          ,
ARCPEN,ESK 9.25% 200418    ,ES18    ,Fixed Interest      ,20/04/2018,000.65,007.95,00000071409.00,00000108.82,00000077704.96,0000007.950000,00000072007.80,00000074016.54,-0000003688.42,00000002008.74,000.06,000.06,08/08/2017,FI00
ARCPEN,R203 8.25 150917    ,R203    ,Fixed Interest      ,15/09/2017,000.10,006.95,00000038472.00,00000105.88,00000040733.22,0000006.950000,00000038501.62,00000039779.89,-0000000953.33,00000001278.27,000.03,000.03,08/08/2017,FI00
ARCPEN,SA ROAD 9.75% 310720,HWAY20  ,Fixed Interest      ,31/07/2020,002.55,008.26,00000130091.00,00000102.46,00000133296.24,0000008.260000,00000135110.15,00000135422.90,00000002126.66,00000000312.75,000.12,000.12,08/08/2017,FI00
ARCPEN,R204 8.00 211218    ,R204    ,Fixed Interest      ,21/12/2018,001.27,007.08,00000015558.00,00000098.11,00000015263.31,0000007.080000,00000015739.12,00000015906.21,00000000642.90,00000000167.09,000.01,000.01,08/08/2017,FI00
ARCPEN,R207 7.25 150120    ,R207    ,Fixed Interest      ,15/01/2020,002.19,007.33,00000082595.00,00000100.61,00000083101.18,0000007.330000,00000082440.77,00000082850.92,-0000000250.26,00000000410.15,000.07,000.07,08/08/2017,FI00
ARCPEN,ESK 10.00% 250123   ,ES23    ,Fixed Interest      ,25/01/2023,004.17,008.93,00000110337.00,00000107.14,00000118216.16,0000008.930000,00000115341.94,00000115795.38,-0000002420.78,00000000453.44,000.10,000.10,08/08/2017,FI00
ARCPEN,R2023 7.75 280223   ,R2023   ,Fixed Interest      ,28/02/2023,004.30,007.90,00000243817.00,00000094.86,00000231295.93,0000007.900000,00000242108.01,00000250494.66,00000019198.73,00000008386.65,000.22,000.22,08/08/2017,FI00
ARCPEN,R208 6.75 310321    ,R208    ,Fixed Interest      ,31/03/2021,003.09,007.48,00000103075.00,00000090.01,00000092779.12,0000007.480000,00000100692.80,00000103189.89,00000010410.77,00000002497.09,000.09,000.09,08/08/2017,FI00
ARCPEN,TRN/CAL 9% 280521   ,WSP5    ,Fixed Interest      ,28/05/2021,003.13,008.23,00000095862.00,00000098.46,00000094389.48,0000008.230000,00000098197.21,00000099922.73,00000005533.25,00000001725.52,000.09,000.09,08/08/2017,FI00
ARCPEN,ESK 7.85% 020426    ,ES26    ,Fixed Interest      ,02/04/2026,005.82,009.72,00000495299.00,00000093.55,00000463328.14,0000009.720000,00000441801.31,00000455542.79,-0000007785.35,00000013741.48,000.40,000.39,08/08/2017,FI00
ARCPEN,R186 10.5 211226    ,R186    ,Fixed Interest      ,21/12/2026,006.04,008.56,00001298428.00,00000112.14,00001456048.05,0000008.560000,00001458189.57,00001476492.08,00000020444.03,00000018302.51,001.28,001.28,08/08/2017,FI00
ARCPEN,SA ROAD 9% 300925   ,SZ25    ,Fixed Interest      ,30/09/2025,005.46,009.51,00000068951.00,00000096.16,00000066299.97,0000009.510000,00000066967.37,00000069194.58,00000002894.61,00000002227.21,000.06,000.06,08/08/2017,FI00
ARCPEN,ESK 7.5% 150933     ,ES33    ,Fixed Interest      ,15/09/2033,007.84,010.77,00002716397.00,00000082.97,00002253881.17,0000010.770000,00002042836.75,00002124886.88,-0000128994.29,00000082050.13,001.85,001.84,08/08/2017,FI00
ARCPEN,ESKOM 8.5% 250442   ,ES42    ,Fixed Interest      ,25/04/2042,008.47,011.05,00000728493.00,00000085.71,00000624396.16,0000078.505790,00000571909.18,00000589891.96,-0000034504.20,00000017982.78,000.51,000.51,08/08/2017,FI00
ARCPEN,SA ROAD 9.25% 310734,HWAY34  ,Fixed Interest      ,31/07/2034,007.97,010.66,00000373471.00,00000094.65,00000353472.57,0000010.655000,00000332650.96,00000333502.77,-0000019969.80,00000000851.81,000.29,000.29,08/08/2017,FI00
ARCPEN,R2030 8.00 310130   ,R2030   ,Fixed Interest      ,31/01/2030,007.55,009.12,00000292574.00,00000091.55,00000267838.32,0000009.115000,00000268538.05,00000269115.18,00000001276.86,00000000577.13,000.23,000.23,08/08/2017,FI00
ARCPEN,R2032 8.25 310332   ,R2032   ,Fixed Interest      ,31/03/2032,007.85,009.35,00002831708.00,00000091.63,00002594584.88,0000009.345000,00002586220.16,00002670065.90,00000075481.02,00000083845.74,002.32,002.31,08/08/2017,FI00
ARCPEN,R2035 8.875 280235  ,R2035   ,Fixed Interest      ,28/02/2035,008.20,009.60,00003915915.00,00000094.01,00003681460.89,0000009.595000,00003677033.61,00003831283.07,00000149822.18,00000154249.46,003.33,003.31,08/08/2017,FI00
ARCPEN,R2037 8.50 310137   ,R2037   ,Fixed Interest      ,31/01/2037,008.88,009.69,00003888181.00,00000089.94,00003497164.61,0000009.690000,00003486061.04,00003494210.28,-0000002954.33,00000008149.24,003.04,003.02,08/08/2017,FI00
ARCPEN,R2040 9.00 310140   ,R2040   ,Fixed Interest      ,31/01/2040,009.11,009.83,00013958382.00,00000094.25,00013155288.48,0000009.830000,00012915279.09,00012946255.53,-0000209032.95,00000030976.44,011.25,011.19,08/08/2017,FI00
ARCPEN,R2044 8.75 310144   ,R2044   ,Fixed Interest      ,31/01/2044,009.49,009.86,00014427163.00,00000090.45,00013048969.34,0000009.860000,00012929171.91,00012960298.51,-0000088670.83,00000031126.60,011.27,011.20,08/08/2017,FI00
ARCPEN,R2048 8.75 280248   ,R2048   ,Fixed Interest      ,28/02/2048,009.37,009.82,00002482060.00,00000089.56,00002222924.96,0000009.820000,00002224987.09,00002321379.38,00000098454.42,00000096392.29,002.02,002.01,08/08/2017,FI00
ARCPEN,R209 6.25 310336    ,R209    ,Fixed Interest      ,31/03/2036,009.12,009.57,00002500523.00,00000072.50,00001812947.93,0000009.565000,00001785171.88,00001841262.36,00000028314.43,00000056090.48,001.60,001.59,08/08/2017,FI00
ARCPEN,R213 7.00 280231    ,R213A   ,Fixed Interest      ,28/02/2031,007.82,009.22,00000669977.00,00000082.85,00000555084.06,0000009.220000,00000555939.68,00000576754.86,00000021670.80,00000020815.18,000.50,000.50,08/08/2017,FI00
ARCPEN,R214 6.5 280241     ,R214    ,Fixed Interest      ,28/02/2041,009.46,009.75,00003603339.00,00000073.48,00002647895.95,0000009.750000,00002528549.81,00002632503.62,-0000015392.33,00000103953.81,002.29,002.27,08/08/2017,FI00
ARCPEN,TRN CAL 5.00% 010818,WS05M7  ,Fixed Interest      ,01/08/2018,000.95,002.98,00001033383.00,00000238.35,00002463023.53,0000249.164690,00002574825.55,00002577593.67,00000114570.14,00000002768.12,002.24,002.23,08/08/2017,FI04
ARCPEN,R197 5.5 071223     ,R197M7  ,Fixed Interest      ,07/12/2023,005.41,002.44,00001213487.00,00000289.88,00003517628.09,0000002.440000,00003558924.14,00003587593.98,00000069965.89,00000028669.84,003.12,003.10,08/08/2017,FI04
ARCPEN,R212 2.75 310122    ,R212M7  ,Fixed Interest      ,31/01/2022,004.19,002.40,00002498725.00,00000140.90,00003520609.32,0000002.400000,00003708913.23,00003711391.47,00000190782.15,00000002478.24,003.23,003.21,08/08/2017,FI04
ARCPEN,I2025 2.00 310125   ,I2025M7 ,Fixed Interest      ,31/01/2025,006.88,002.48,00000002912.00,00000122.99,00000003581.39,0000002.480000,00000003718.53,00000003720.43,00000000139.04,00000000001.90,000.00,000.00,08/08/2017,FI04
ARCPEN,R210 2.60 310328    ,R210M7  ,Fixed Interest      ,31/03/2028,009.18,002.47,00000853012.00,00000181.27,00001546222.95,0000002.470000,00001565533.78,00001579968.45,00000033745.50,00000014434.67,001.37,001.37,08/08/2017,FI04
ARCPEN,I2038 2.25 310138   ,I2038M7 ,Fixed Interest      ,31/01/2038,016.26,002.40,00001638271.00,00000127.96,00002096285.86,0000128.808950,00002110239.67,00002111439.38,00000015153.52,00000001199.71,001.84,001.82,08/08/2017,FI04
ARCPEN,I2046 2.5 310346    ,I2046M7 ,Fixed Interest      ,31/03/2046,020.17,002.52,00002603394.00,00000127.80,00003327110.46,0000123.899660,00003225596.31,00003254657.48,-0000072452.98,00000029061.17,002.83,002.81,08/08/2017,FI04
ARCPEN,I2050 2.5 311250    ,I2050M7 ,Fixed Interest      ,31/12/2050,022.49,002.50,00002953438.00,00000134.24,00003964564.05,0000131.872340,00003894767.80,00003905438.87,-0000059125.18,00000010671.07,003.39,003.37,08/08/2017,FI04
ARCPEN,R202 3.45 071233    ,R202M7  ,Fixed Interest      ,07/12/2033,012.64,002.52,00003158947.00,00000239.01,00007550352.75,0000002.520000,00007481451.69,00007521093.32,-0000029259.43,00000039641.63,006.54,006.50,08/08/2017,FI04
ARCPEN,AFRBNK 9.50% 240518 ,ABK2    ,Fixed Interest      ,24/05/2018,000.73,010.03,00000007200.00,00000106.09,00000007638.45,0000010.030000,00000007168.38,00000007312.68,-0000000325.77,00000000144.30,000.01,000.01,08/08/2017,FI00
ARCPEN,ABSA 9.88% 170318   ,ABS10   ,Fixed Interest      ,17/03/2018,000.56,008.25,00000077784.00,00000104.07,00000080949.49,0000008.250000,00000078483.98,00000081536.95,00000000587.46,00000003052.97,000.07,000.07,08/08/2017,FI00
ARCPEN,CTY JHB 9% 050618   ,COJ04   ,Fixed Interest      ,05/06/2018,000.77,008.09,00000017801.00,00000098.34,00000017505.89,0000008.090000,00000017923.47,00000018208.77,00000000702.88,00000000285.30,000.02,000.02,08/08/2017,FI00
ARCPEN,FRSTRND 10.5% 140418,FRX18   ,Fixed Interest      ,14/04/2018,000.64,007.67,00000021724.00,00000108.24,00000023513.00,0000007.670000,00000022136.67,00000022842.85,-0000000670.15,00000000706.18,000.02,000.02,08/08/2017,FI00
ARCPEN,IBL49 7.335% 020418 ,IBL49   ,Fixed Interest      ,02/04/2018,000.61,008.26,00000084892.00,00000088.03,00000074733.57,0000008.260000,00000084385.34,00000086586.05,00000011852.48,00000002200.71,000.08,000.07,08/08/2017,FI00
ARCPEN,IMPERIAL GRP 280917 ,IPL6    ,Fixed Interest      ,28/09/2017,000.14,007.90,00000071190.00,00000103.27,00000073520.80,0000007.900000,00000071318.96,00000073875.02,00000000354.22,00000002556.06,000.06,000.06,08/08/2017,FI00
ARCPEN,INV 13.735% 300418  ,IV08    ,Fixed Interest      ,30/04/2018,000.67,008.78,00000021724.00,00000106.34,00000023100.81,0000008.780000,00000022453.07,00000023278.72,00000000177.91,00000000825.65,000.02,000.02,08/08/2017,FI00
ARCPEN,LGL03 7.64% 030418  ,LGL03   ,Fixed Interest      ,03/04/2018,000.61,008.85,00000139432.00,00000095.14,00000132653.88,0000099.223430,00000138349.21,00000142084.91,00000009431.03,00000003735.70,000.12,000.12,08/08/2017,FI00
ARCPEN,STD 9.66% 011217    ,SBK14   ,Fixed Interest      ,01/12/2017,000.31,008.05,00000047949.00,00000099.74,00000047822.20,0000008.050000,00000048158.67,00000049034.29,00000001212.09,00000000875.62,000.04,000.04,08/08/2017,FI00
ARCPEN,STD 8.4% 100418     ,SBK9    ,Fixed Interest      ,10/04/2018,000.63,008.43,00000035078.00,00000098.47,00000034542.13,0000008.430000,00000035061.73,00000036038.53,00000001496.40,00000000976.80,000.03,000.03,08/08/2017,FI00
ARCPEN,SBS13 8.9% 220917   ,SBS13   ,Fixed Interest      ,22/09/2017,000.12,007.57,00000065917.00,00000101.78,00000067088.39,0000007.570000,00000065979.54,00000068229.75,00000001141.36,00000002250.21,000.06,000.06,08/08/2017,FI00
ARCPEN,SANTAM LTD 8% 150917,SNT01   ,Fixed Interest      ,15/09/2017,000.10,008.15,00000000201.00,00000097.82,00000000196.62,0000008.150000,00000000200.90,00000000207.58,00000000010.96,00000000006.68,000.00,000.00,08/08/2017,FI00
