Security     ,Long  Name                                                   ,Cat & Subtype ,Stock Exchange ,Currency Code ,Wghtd Ave Maturity ,Maturity Date ,Coupon Rate   ,Next Interest Date ,Exercise Price ,Macaulay Duration ,Interest Frequency ,Market Price     ,Yield to Maturity ,Shares Issued     ,Comments                       ,Days in Year ,Days in Month ,First Payment Date ,Last Payment Date ,Previous Ex Date ,Modified Duration ,Convexity  ,Accrued Interest  ,Days Ex/Due ,Swap Leg ,A ,Parent   ,Valuation Date                                                                                                                           External code 1 External code 2 Location Stock Exchange Total Value (Pfolio)
ABK6        ,AFRICAN BANK 3MJIBAR+250BPS 05/06/2020                      ,FI02,BMA,ZAR,   ,05/06/20,00009.825000,05/09/17,000000.000,000.076712,04,0000100.033517,          ,             ,LINKED TO TABLE DT            ,2,1,        ,        ,05/06/17,000.074861,000.069078,              ,010, ,Y,        ,08/08/17
ABK8        ,AFRICAN BANK 3M JIBAR+264BPS 03/06/2021                     ,FI02,BMA,ZAR,   ,03/06/21,00009.965000,03/09/17,000000.000,000.071233,04,0000093.444744,          ,             ,                              ,2,1,        ,        ,03/06/17,000.069119,000.113049,              ,010, ,Y,        ,08/08/17
ABK9        ,AFRICAN BANK LIMITED 3M JIBAR + 199BPS 18/11/2019           ,FI02,BMA,ZAR,   ,18/11/19,00009.332000,18/08/17,000000.000,000.027397,04,0000096.009224,          ,             ,                              ,2,1,        ,        ,18/05/17,000.026635,000.048078,              ,010, ,Y,        ,08/08/17
ABKI03M7    ,AFRICAN BANK LIMITED CPI 3.20% 13/10/2021                   ,FI04,BMA,ZAR,500,13/10/21,00003.200000,13/10/17,000000.000,003.876935,02,0000108.059760,          ,             ,                              ,2,1,        ,        ,13/04/17,003.733548,000.164586,              ,005, ,Y,        ,08/08/17
ABKS1A      ,AFRICAN BANK LIMITED 3M JIBAR + 725BPS 05/04/2021           ,FI02,BMA,ZAR,   ,05/04/21,00014.600000,04/10/17,000000.000,000.156164,04,0000086.258648,          ,             ,FM 04042026                   ,2,1,        ,        ,04/07/17,000.148674,000.089885,              ,010, ,Y,        ,08/08/17
ABL SENT    ,AFRICAN BANK SENIOR TRANSFERABLE STUB                       ,FI02,BMA,ZAR,   ,04/04/21,00000.000000,04/10/17,000000.000,000.000000,04,0000050.250000,          ,             ,DO NOT RESET NO INT ACCRUAL   ,2,1,        ,        ,04/07/17,000.000000,000.129897,              ,   , ,Y,        ,08/08/17
ABL SUB     ,AFRICAN BANK SUBORDINATED STUB                              ,FI02,BMA,ZAR,   ,04/04/21,00000.000000,04/10/17,000000.000,000.000000,04,0000000.000001,040.000000,             ,DO NOT RESET NO INT ACCRUAL   ,2,1,        ,        ,04/07/17,000.000000,000.117950,              ,   , ,Y,        ,08/08/17
ABS10       ,ABS10 ABSA BANK LIMITED 9.88% 17/03/2018                    ,FI00,BMA,ZAR,   ,17/03/18,00009.880000,17/09/17,000000.000,000.582119,02,0000008.250000,008.250000,             ,                              ,2,1,        ,        ,17/03/17,000.558876,000.005962,              ,010, ,Y,        ,08/08/17
ABS12       ,ABSA BANK LTD 9.26% 14/05/2020                              ,FI00,BMA,ZAR,   ,14/05/20,00009.260000,14/11/17,000000.000,002.454942,02,0000008.910000,008.910000,             ,                              ,2,1,        ,        ,14/05/17,002.349415,000.070926,              ,010, ,Y,        ,08/08/17
ABS13A      ,ABSA BANK LTD 9.675% 14/05/2022                             ,FI00,BMA,ZAR,   ,14/05/22,00009.675000,14/11/17,000000.000,003.850930,02,0000009.360000,009.360000,             ,                              ,2,1,        ,        ,14/05/17,003.677413,000.172718,              ,010, ,Y,        ,08/08/17
ABS6        ,ABSA 8.20% 01/06/2020                                       ,FI00,BMA,ZAR,   ,01/06/20,00008.200000,01/12/17,000000.000,002.533888,02,0000008.580000,008.580000,             ,SENIOR UNSECURED              ,2,1,        ,        ,01/06/17,002.429382,000.074704,              ,010, ,Y,        ,08/08/17
ABS7        ,ABSA 8.80% 11/09/2026                                       ,FI00,BMA,ZAR,   ,11/09/26,00008.800000,11/09/17,000000.000,006.100498,02,0000009.910000,009.910000,             ,UNSECURE UNDER DMTN           ,2,1,        ,        ,11/03/17,005.810235,000.464210,              ,010, ,Y,        ,08/08/17
ABSP        ,ABSA 6.62% NON CUM PREF                                     ,OS06,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000741.000000,          ,0000004944839,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ACL183      ,ABSA PORTFOLIO CLN 3MJ+225BPS 20/06/2019                    ,FI02,BMA,ZAR,   ,20/06/19,00009.567000,20/09/17,000000.000,000.117808,04,0000101.139517,          ,             ,                              ,2,1,        ,        ,20/06/17,000.115223,000.033781,              ,010, ,Y,        ,08/08/17
ACL216      ,ABSA ANGLO AMERICAN SA FIN CLN 3M JIBAR+150BPS 20/12/2018   ,FI02,BMA,ZAR,   ,20/12/18,00008.817000,20/09/17,000000.000,000.117808,04,0000100.045980,          ,             ,                              ,2,1,        ,        ,20/06/17,000.115257,000.019608,              ,010, ,Y,        ,08/08/17
ADH         ,ADVTECH LIMITED                                             ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000017.120000,          ,0000544368530,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ADH MC      ,DOUJA PROMOTION GROUPE ADDOHA SA                            ,OS00,SEC,MAD,   ,        ,            ,        ,000000.000,000.000000,  ,0000047.500000,          ,0000322557100,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AEG         ,AVENG LIMITED                                               ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000004.050000,          ,0000416670931,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AFH         ,ALEXANDER FORBES GROUP HOLDINGS                             ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000006.810000,          ,0001341426963,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AGL         ,ANGLO AMERICAN PLC                                          ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000217.890000,          ,0001405467840,PRIMARY - LONDON              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AHF2A2      ,AMBER HOUSE FUND 2(RF)LIMITED 3M JIBAR+1.50+0.20BPS 18102018,FI02,BMA,ZAR,   ,18/10/18,00009.042000,18/10/17,000000.000,000.194521,04,0000100.065112,          ,             ,FM 18/10/2045                 ,2,1,        ,        ,18/07/17,000.190210,000.015490,              ,005, ,Y,        ,08/08/17
AHF2B2      ,AMBER HOUSE FUND 2 CLASS B 3M JIBAR+180+20BPS 18102018      ,FI02,BMA,ZAR,   ,18/10/18,00009.342000,18/10/17,000000.000,000.194521,04,0000100.064760,          ,             ,STEP UP 18/10/18 J+180BPS     ,2,1,        ,        ,18/07/17,000.190069,000.015437,              ,005, ,Y,        ,08/08/17
AHF2C2      ,AMBER HOUSE FUND 2 (RF) LTD 3M JIBAR+280+20BPS 18102018     ,FI02,BMA,ZAR,   ,18/10/18,00010.342000,18/10/17,000000.000,000.194521,04,0000100.063512,          ,             ,FINAL MATURITY 18/04/2045     ,2,1,        ,        ,18/07/17,000.189602,000.015260,              ,005, ,Y,        ,08/08/17
AHF3A4      ,AMBER HOUSE 3 A4 3J+135BPS(SENIOR)+15BPS(SUBORD)18/04/2019  ,FI02,BMA,ZAR,   ,18/04/19,00008.842000,18/10/17,000000.000,000.194521,04,0000100.065373,          ,             ,STEP UP 18/04/19 J+126BPS     ,2,1,        ,        ,18/07/17,000.190297,000.028823,              ,005, ,Y,        ,08/08/17
AHF3B3      ,AMBER HOUSE 3 B3 JB+220BPS(SENIOR)+130BPS(SUBORD)18/04/2019 ,FI02,BMA,ZAR,   ,18/04/19,00010.842000,18/10/17,000000.000,000.194521,04,0000100.062924,          ,             ,STEP UP 18/04/19              ,2,1,        ,        ,18/07/17,000.189363,000.027989,              ,005, ,Y,        ,08/08/17
AHF3C3      ,AMBER HOUSE 3MONTHS JIBAR+380BPS(SNR)+230BP(SUB) 18/04/2019 ,FI02,BMA,ZAR,   ,18/04/19,00013.442000,18/10/17,000000.000,000.194521,04,0000100.059094,          ,             ,FM 18/10/42 J+3.80%           ,2,1,        ,        ,18/07/17,000.188161,000.026950,              ,005, ,Y,        ,08/08/17
AIP         ,ADCOCK INGRAM HOLDINGS LIMITED                              ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000063.000000,          ,0000175748048,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AIR01       ,AIRPORTS COMPANY OF SOUTH AFRICA 8.58% 15/03/2019           ,FI00,BMA,ZAR,   ,15/03/19,00008.580000,15/09/17,000000.000,001.480058,02,0000008.430000,008.430000,             ,NO GUARANTEE                  ,2,1,        ,        ,15/03/17,001.419725,000.028257,              ,010, ,Y,        ,08/08/17
AIR02       ,AIR02 AIRPORTS COMPANY SA LTD 11.68% 30/04/2023             ,FI00,BMA,ZAR,   ,30/04/23,00011.680000,30/10/17,000000.000,004.259025,02,0000010.100000,010.100000,             ,                              ,2,1,        ,        ,30/04/17,004.053750,000.217415,              ,010, ,Y,        ,08/08/17
AIR04       ,AIRPORTS COMPANY OF SA 9.25% 29/05/2024                     ,FI00,BMA,ZAR,   ,29/05/24,00009.250000,29/11/17,000000.000,005.109516,02,0000009.250000,009.250000,             ,NO GUARANTEE                  ,2,1,        ,        ,29/05/17,004.881874,000.308845,              ,005, ,Y,        ,08/08/17
AIRL01M7    ,AIRPORTS COMPANY SOUTH AFRICA CPI BOND 3.64% 30/04/2028     ,FI04,BMA,ZAR,700,30/04/28,00003.640000,30/10/17,000000.000,008.908621,02,0000003.480000,003.480000,             ,                              ,2,1,        ,        ,30/04/17,008.755852,000.906913,              ,010, ,Y,        ,08/08/17
ALBIX7      ,NOV17 ALBI TR INDEX FUTURE 02/11/2017                       ,FU10,YDX,ZAR,   ,02/11/17,            ,        ,000000.059,000.000000,  ,0000575.402000,          ,             ,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ALSIU7      ,SEP17 ALSI FUTURE 21/09/2017                                ,FU10,SFX,ZAR,   ,21/09/17,            ,        ,000000.059,000.000000,  ,0049562.000000,          ,             ,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ALTERNK     ,ALTERNATIVE ASSET TAX FUND K                                ,OS03,OTC,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000101.813924,          ,0000000000000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ALTERNR     ,ALTERNATIVE ASSET TAX FUND R                                ,OS03,OTC,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000102.089723,          ,0000000000000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ALTERNT     ,ALTERNATIVE ASSET TAX FUND T                                ,OS03,OTC,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000101.689151,          ,0000000000000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AMS         ,ANGLO PLATINUM LIMITED                                      ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000330.620000,          ,0000269681886,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ANG         ,ANGLOGOLD LIMITED                                           ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000121.790000,          ,0000409497493,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ANH         ,NEWBELCO SA NV                                              ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0001555.500000,          ,0001693242156,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ANMNW       ,ANGLO AMERICAN PLC NAMIBIA                                  ,OS00,NSX,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000217.890000,          ,0001396616000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
APN         ,ASPEN PHARMACARE HOLDINGS LIMITED                           ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000282.980000,          ,0000456435185,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ARI         ,AFRICAN RAINBOW MINERALS LTD                                ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000095.670000,          ,0000218702457,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ASC         ,ASCENDIS HEALTH LTD                                         ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000019.040000,          ,0000435939348,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ASPD19      ,ASPEN 3YEAR BULLET FACILITY B 3MJ+185BPS 28/06/2019         ,FI02,OTC,ZAR,   ,28/06/19,00009.192000,29/09/17,000000.000,000.142466,04,0000100.342380,          ,             ,ASPEN PHARMACARE LTD          ,2,1,        ,        ,30/06/17,000.139344,000.034826,              ,   , ,Y,        ,08/08/17
ASPF21      ,ASPEN 5 YEAR BULLET FACILITY B 3M J+215BPS  30/06/2021      ,FI02,OTC,ZAR,   ,30/06/21,00009.492000,29/09/17,000000.000,000.142466,04,0000099.102590,          ,             ,ASPEN PHARMACARE LTD          ,2,1,        ,        ,30/06/17,000.139079,000.121472,              ,   , ,Y,        ,08/08/17
ATT         ,ATTERBURY INVESTMENT HOLDINGS LTD                           ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000018.430000,          ,0000749242777,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
ATW MC      ,ATTIJARIWAFA BANK                                           ,OS00,SEC,MAD,   ,        ,            ,        ,000000.000,000.000000,  ,0000454.000000,          ,0000203527200,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AVI         ,AVI LIMITED                                                 ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000100.370000,          ,0000350799039,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AXL         ,AFRICAN PHOENIX INVESTMENTS LIMITED                         ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000000.720000,          ,0001427005270,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
AXLP        ,AFRICAN PHOENIX INVESTMENTS LIMITED PREFERENCE SHARES       ,OS06,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000030.500000,          ,0000013523029,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BAT         ,BRAIT SA                                                    ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000060.750000,          ,0000527540489,PRIMARY - LUXEMBOURGH         ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BAW11       ,BARLOW 9.8% 01/10/2018                                      ,FI00,BMA,ZAR,   ,01/10/18,00009.800000,01/10/17,000000.000,001.079454,02,0000008.580000,008.580000,             ,SUBORDINATE UNSECURE-TIER2DMTN,2,1,        ,        ,01/04/17,001.034934,000.016153,              ,010, ,Y,        ,08/08/17
BAW17       ,BARLOWORLD LIMITED 3M JIBAR+148BPS 05/12/2018               ,FI02,BMA,ZAR,   ,05/12/18,00008.805000,05/09/17,000000.000,000.076712,04,0000100.009992,          ,             ,                              ,2,1,        ,        ,05/06/17,000.075048,000.018522,              ,010, ,Y,        ,08/08/17
BAW18       ,BARLOWORLD LIMITED 3MONTH JIBAR+170BPS 05/12/2020           ,FI02,BMA,ZAR,   ,05/12/20,00009.025000,05/09/17,000000.000,000.076712,04,0000099.919387,          ,             ,                              ,2,1,        ,        ,05/06/17,000.075001,000.093477,              ,010, ,Y,        ,08/08/17
BAW19       ,BARLOWORLD LIMITED 9.56% 05/12/2020                         ,FI00,BMA,ZAR,   ,05/12/20,00009.560000,05/12/17,000000.000,002.884886,02,0000009.360000,009.360000,             ,SUBORDINATE UNSECURE-TIER2DMTN,2,1,        ,        ,05/06/17,002.755572,000.096140,              ,010, ,Y,        ,08/08/17
BAW21A      ,BARLOW  WORLD 9.295% 24/03/2022                             ,FI00,BMA,ZAR,   ,24/03/22,00009.295000,24/09/17,000000.000,003.734633,02,0000009.330000,009.330000,             ,                              ,2,1,        ,        ,24/03/17,003.566871,000.163943,              ,010, ,Y,        ,08/08/17
BAW24       ,BARLOWORLD LIMITED 3M JIBAR+185BPS 30/09/2019               ,FI02,BMA,ZAR,   ,30/09/19,00009.192000,30/09/17,000000.000,000.145205,04,0000100.775706,          ,             ,                              ,2,1,        ,        ,30/06/17,000.142056,000.043466,              ,010, ,Y,        ,08/08/17
BGA         ,BARCLAYS AFRICA GROUP LTD                                   ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000151.080000,          ,0000847750679,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BID         ,BIDCORP LIMITED                                             ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000315.000000,          ,0000335404212,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BID07       ,BIDVESTCO LIMITED 3MONTH JIBAR+160BPS 30/06/2020            ,FI02,BMA,ZAR,   ,30/06/20,00008.925000,30/09/17,000000.000,000.145206,04,0000100.054220,          ,             ,                              ,2,1,        ,        ,30/06/17,000.142018,000.073967,              ,010, ,Y,        ,08/08/17
BIL         ,BILLITON PLC                                                ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000238.150000,          ,0002112071796,PRIMARY - LONDON              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BTI         ,BRITISH AMERICAN TOBACCO PLC                                ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000858.240000,          ,0002462666963,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BVT         ,BIDVEST GROUP LIMITED                                       ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000177.480000,          ,0000335404212,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
BWZJ18A     ,BANK  WINDHOEK LIMITED 3MJIBAR+180BPS 19/11/2018            ,FI02,BMA,ZAR,   ,19/11/18,00009.142000,19/08/17,000000.000,000.030137,04,0000100.020395,          ,             ,                              ,2,1,        ,        ,19/05/17,000.029459,000.017249,              ,010, ,Y,        ,08/08/17
CBL23       ,CAPITEC BANK LTD 3J+245BPS 18/05/2018                       ,FI02,BMA,ZAR,   ,18/05/18,00009.792000,18/08/17,000000.000,000.027397,04,0000100.015972,          ,             ,                              ,2,1,        ,        ,18/05/17,000.026739,000.007196,              ,005, ,Y,        ,08/08/17
CBL24       ,CAPITEC 3MONTH JIBAR+2.60% 02/11/2020                       ,FI02,BMA,ZAR,   ,02/11/20,00009.667000,02/11/17,000000.000,000.235616,04,0000100.005302,          ,             ,                              ,2,1,        ,        ,02/08/17,000.230009,000.088910,              ,005, ,Y,        ,08/08/17
CBL25       ,CAPITEC BANK LIMITED 3M JIBAR+220BPS 06/05/2019             ,FI02,BMA,ZAR,   ,06/05/19,00009.267000,06/11/17,000000.000,000.246575,04,0000099.980131,          ,             ,                              ,2,1,        ,        ,07/08/17,000.241002,000.030438,              ,005, ,Y,        ,08/08/17
CBL27       ,CAPITEC BANK LIMITED JB3MTH+200BPS 12/05/2020               ,FI02,BMA,ZAR,   ,12/05/20,00009.342000,14/08/17,000000.000,000.016438,04,0000100.013657,          ,             ,                              ,2,1,        ,        ,12/05/17,000.016052,000.068462,              ,005, ,Y,        ,08/08/17
CCO         ,CAPITAL & COUNTIES PROPERTIES PLC                           ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000049.400000,          ,0000848475570,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
CCT01       ,CCT01 CITY OF CAPE TOWN 12.57% 23/06/2023                   ,FI00,BMA,ZAR,   ,23/06/23,00012.570000,23/12/17,000000.000,004.340794,02,0000010.385000,010.385000,             ,                              ,2,1,        ,        ,23/06/17,004.125966,000.224186,              ,010, ,Y,        ,08/08/17
CCT02       ,CCT02 CITY OF CAPE TOWN 11.615% 12/06/2024                  ,FI00,BMA,ZAR,   ,12/06/24,00011.615000,12/12/17,000000.000,004.885844,02,0000010.385000,010.385000,             ,                              ,2,1,        ,        ,12/06/17,004.644041,000.286977,              ,010, ,Y,        ,08/08/17
CCT03       ,CITY OF CAPE TOWN 11.16% 15/03/2025                         ,FI00,BMA,ZAR,   ,15/03/25,00011.160000,15/09/17,000000.000,005.138402,02,0000010.460000,010.460000,             ,SUBORDINATE UNSECURE CALLABLE ,2,1,        ,        ,15/03/17,004.881026,000.329486,              ,010, ,Y,        ,08/08/17
CCT04       ,CITY OF CAPE TOWN 10.17% 17/07/2027                         ,FI00,BMA,ZAR,   ,17/07/27,00010.170000,17/01/18,000000.000,006.466090,02,0000009.890000,009.890000,             ,SUBORDINATE UNSECURE CALLABLE ,2,1,        ,        ,17/07/17,006.159023,000.520282,              ,010, ,Y,        ,08/08/17
CFR         ,COMPAGNIE FIN RICHEMONT                                     ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000115.620000,          ,0005220000000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
CGP NW      ,CAPRICORN INVESTMENT GROUP                                  ,OS00,NSX,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000018.000000,          ,0000505300000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
CHP         ,CHOPPIES ENTERPRISES LTD                                    ,OS00,JSE,ZAR,   ,        ,            ,        ,000000.000,000.000000,  ,0000002.850000,          ,0001303628341,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
CIEB EY     ,CREDIT AGRICOLE EGYPT                                       ,OS00,CAS,EGP,   ,        ,            ,        ,000000.000,000.000000,  ,0000045.990000,          ,0000310900000,                              ,0,0,        ,        ,        ,000.000000,000.000000,              ,   , ,Y,        ,08/08/17
