ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
ARCPEN,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000095862,00000094389.48, ,0008.23,00000099922.73,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00000553091,00000536680.69, ,       ,00000569402.66,
ARCPEN,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000495299,00000463328.14, ,0009.72,00000455542.79,FI00
ARCPEN,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00001298428,00001456048.05, ,0008.56,00001476492.08,FI00
ARCPEN,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000068951,00000066299.97, ,0009.51,00000069194.58,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00001862678,00001985676.16, ,       ,00002001229.45,
ARCPEN,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00002716397,00002253881.17, ,0010.77,00002124886.88,FI00
ARCPEN,ESKOM 8.5% 25/04/2042                ,ES42    ,Over 12 years Nomina,000.0000,00000728493,00000624396.16, ,0011.05,00000589891.96,FI00
ARCPEN,SA NATIONAL ROADS AGENCY LTD 9.25% 31,HWAY34  ,Over 12 years Nomina,000.0000,00000373471,00000353472.57, ,0010.66,00000333502.77,FI00
ARCPEN,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00000292574,00000267838.32, ,0009.12,00000269115.18,FI00
ARCPEN,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00002831708,00002594584.88, ,0009.35,00002670065.90,FI00
ARCPEN,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00003915915,00003681460.89, ,0009.60,00003831283.07,FI00
ARCPEN,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00003888181,00003497164.61, ,0009.69,00003494210.28,FI00
ARCPEN,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00013958382,00013155288.48, ,0009.83,00012946255.53,FI00
ARCPEN,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00014427163,00013048969.34, ,0009.86,00012960298.51,FI00
ARCPEN,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00002482060,00002222924.96, ,0009.82,00002321379.38,FI00
ARCPEN,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00002500523,00001812947.93, ,0009.57,00001841262.36,FI00
ARCPEN,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00000669977,00000555084.06, ,0009.22,00000576754.86,FI00
ARCPEN,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00003603339,00002647895.95, ,0009.75,00002632503.62,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00052388183,00046715909.32, ,       ,00046591410.30,
ARCPEN,TRANS CALEDON 5.00% 01/08/2018       ,WS05M7  ,0-1 years Govern IL ,000.0000,00001033383,00002463023.53, ,0002.98,00002577593.67,FI04
**TOTAL 0-1 years Govern IL                                            ,,,,000.0000,00001033383,00002463023.53, ,       ,00002577593.67,
ARCPEN,R197 REPUBLIC OF SOUTH AFRICA CPI 5.5,R197M7  ,3-7 years Govern IL ,000.0000,00001213487,00003517628.09, ,0002.44,00003587593.98,FI04
ARCPEN,R212 REPUBLIC OF SOUTH AFRICA CPI 2.7,R212M7  ,3-7 years Govern IL ,000.0000,00002498725,00003520609.32, ,0002.40,00003711391.47,FI04
**TOTAL 3-7 years Govern IL                                            ,,,,000.0000,00003712212,00007038237.41, ,       ,00007298985.45,
ARCPEN,I2025 REPUBLIC OF SOUTH AFRICA 2.000%,I2025M7 ,7-12 years Govt IL  ,000.0000,00000002912,00000003581.39, ,0002.48,00000003720.43,FI04
ARCPEN,R210 REPUBLIC OF SOUTH AFRICA CPI 2.6,R210M7  ,7-12 years Govt IL  ,000.0000,00000853012,00001546222.95, ,0002.47,00001579968.45,FI04
**TOTAL 7-12 years Govt IL                                             ,,,,000.0000,00000855924,00001549804.34, ,       ,00001583688.88,
ARCPEN,I2038 REPUBLIC OF SOUTH AFRICA 2.250%,I2038M7 ,Over 12 years Gov IL,000.0000,00001638271,00002096285.86, ,0002.40,00002111439.38,FI04
ARCPEN,I2046 REPUBLIC OF SOUTH AFRICA 2.500%,I2046M7 ,Over 12 years Gov IL,000.0000,00002603394,00003327110.46, ,0002.52,00003254657.48,FI04
ARCPEN,I2050 REPUBLIC OF SOUTH AFRICA 2.500%,I2050M7 ,Over 12 years Gov IL,000.0000,00002953438,00003964564.05, ,0002.50,00003905438.87,FI04
ARCPEN,R202 REPUBLIC OF SOUTH AFRICA CPI 3.4,R202M7  ,Over 12 years Gov IL,000.0000,00003158947,00007550352.75, ,0002.52,00007521093.32,FI04
**TOTAL Over 12 years Gov IL                                           ,,,,000.0000,00010354050,00016938313.12, ,       ,00016792629.05,
ARCPEN,AFRICAN BANK 9.50% 24/05/2018        ,ABK2    ,0-1 year NominalCred,000.0000,00000007200,00000007638.45, ,0010.03,00000007312.68,FI00
ARCPEN,ABS10 ABSA BANK LIMITED 9.88% 17/03/2,ABS10   ,0-1 year NominalCred,000.0000,00000077784,00000080949.49, ,0008.25,00000081536.95,FI00
ARCPEN,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00000017801,00000017505.89, ,0008.09,00000018208.77,FI00
ARCPEN,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000021724,00000023513.00, ,0007.67,00000022842.85,FI00
ARCPEN,INVESTEC IBL49 7.335% 02/04/2018     ,IBL49   ,0-1 year NominalCred,000.0000,00000084892,00000074733.57, ,0008.26,00000086586.05,FI00
ARCPEN,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000071190,00000073520.80, ,0007.90,00000073875.02,FI00
ARCPEN,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000021724,00000023100.81, ,0008.78,00000023278.72,FI00
ARCPEN,LIBERTY GROUP LGL03 03/04/2018       ,LGL03   ,0-1 year NominalCred,000.0000,00000139432,00000132653.88, ,0008.85,00000142084.91,FI00
ARCPEN,STD FIXED RATE 9.66% CALLABLE 01/12/2,SBK14   ,0-1 year NominalCred,000.0000,00000047949,00000047822.20, ,0008.05,00000049034.29,FI00
ARCPEN,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000035078,00000034542.13, ,0008.43,00000036038.53,FI00
ARCPEN,SBS13 STANDARD BANK OF SA 8.9% 22/09/,SBS13   ,0-1 year NominalCred,000.0000,00000065917,00000067088.39, ,0007.57,00000068229.75,FI00
ARCPEN,SANTAM LTD 8% 150917 - STEP UP 15/09/,SNT01   ,0-1 year NominalCred,000.0000,00000000201,00000000196.62, ,0008.15,00000000207.58,FI00
ARCPEN,SAPPI SOUTHERN AFRICA 3MONTH JIBAR+15,SSA05   ,0-1 year NominalCred,000.0000,00000006023,00000006014.41, ,0008.41,00000006073.45,FI02
ARCPEN,TRANSNET LIMITED 17 9.25% 14/11/2017 ,TN17    ,0-1 year NominalCred,000.0000,00000147748,00000152244.81, ,0007.64,00000151511.61,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00000744663,00000741524.45, ,       ,00000766821.16,
ARCPEN,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000075789,00000076789.08, ,0008.60,00000079202.13,FI00
ARCPEN,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000067236,00000064938.58, ,0009.08,00000067806.43,FI00
ARCPEN,ABSA BANK LTD 9.26% 14/05/2020       ,ABS12   ,1-3 years NominalCre,000.0000,00000086797,00000083561.55, ,0008.91,00000089406.11,FI00
ARCPEN,ABSA 8.20% 01/06/2020                ,ABS6    ,1-3 years NominalCre,000.0000,00000002134,00000002004.68, ,0008.58,00000002146.66,FI00
ARCPEN,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000159816,00000160125.59, ,0008.43,00000165623.06,FI00
ARCPEN,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000190984,00000196610.43, ,0008.58,00000200086.83,FI00
ARCPEN,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00000380364,00000373923.20, ,0008.54,00000388197.14,FI00
ARCPEN,ESKOM 13.5% 01 AUG 2020              ,E170    ,1-3 years NominalCre,000.0000,00000000578,00000000734.85, ,0008.22,00000000658.93,FI00
ARCPEN,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000125313,00000119856.07, ,0008.88,00000126115.50,FI00
ARCPEN,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00000280660,00000288773.14, ,0009.89,00000292502.62,FI00
ARCPEN,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00000152169,00000153784.62, ,0007.90,00000158752.75,FI00
ARCPEN,INVESTEC IBL45 8% 21/12/2018         ,IBL45   ,1-3 years NominalCre,000.0000,00000080463,00000076766.32, ,0008.51,00000080792.02,FI00
ARCPEN,INVESTEC IBL46 7.25% 15/01/2020      ,IBL46   ,1-3 years NominalCre,000.0000,00000158688,00000145004.34, ,0008.96,00000153635.51,FI00
ARCPEN,INVESTEC BANK LIMITED 9.750% 20/05/20,IBL87   ,1-3 years NominalCre,000.0000,00000074068,00000075063.25, ,0008.38,00000077287.95,FI00
ARCPEN,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000265438,00000294611.51, ,0008.15,00000294168.93,FI00
ARCPEN,NAMIBIA POWER CORP LTD - 24/07/2020  ,NMP20N  ,1-3 years NominalCre,000.0000,00000023709,00000023294.74, ,0008.38,00000024395.62,FI00
ARCPEN,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000117361,00000131977.34, ,0008.26,00000125786.08,FI00
ARCPEN,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00000110652,00000107004.03, ,0009.71,00000114951.28,FI00
ARCPEN,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000088950,00000089141.49, ,0007.95,00000091925.59,FI00
ARCPEN,SANLAM 8.7% 15/08/2018               ,SLI3    ,1-3 years NominalCre,000.0000,00000052857,00000051082.42,X,0008.33,00000052969.96,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00002494026,00002515047.23, ,       ,00002586411.10,
ARCPEN,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00000182434,00000182434.00, ,0009.58,00000187373.97,FI00
ARCPEN,AFRICAN BANK LIMITED 3M JIBAR + 725BP,ABKS1A  ,3-7 years NominalCre,000.0000,00000111242,00000121677.82, ,0019.99,00000097557.92,FI02
ARCPEN,AFRICAN BANK SENIOR TRANSFERABLE STUB,ABL SENT,3-7 years NominalCre,000.0000,00000113674,00000000000.00, ,0019.28,00000057121.17,FI02
ARCPEN,AFRICAN BANK SUBORDINATED STUB       ,ABL SUB ,3-7 years NominalCre,000.0000,00000272991,00000204977.27, ,0040.00,00000000000.00,FI02
ARCPEN,ABSA BANK LTD 9.675% 14/05/2022      ,ABS13A  ,3-7 years NominalCre,000.0000,00000200005,00000189620.97, ,0009.36,00000206903.69,FI00
ARCPEN,AIR02 AIRPORTS COMPANY SA LTD 11.68% ,AIR02   ,3-7 years NominalCre,000.0000,00000045762,00000050984.64, ,0010.10,00000050307.77,FI00
ARCPEN,AIRPORTS COMPANY OF SA 9.25% 29/05/20,AIR04   ,3-7 years NominalCre,000.0000,00000071371,00000070091.41, ,0009.25,00000072645.16,FI00
ARCPEN,BARLOWORLD LIMITED 3MONTH JIBAR+170BP,BAW18   ,3-7 years NominalCre,000.0000,00000032363,00000032486.71, ,0009.05,00000032857.05,FI02
ARCPEN,BARLOW  WORLD 9.295% 24/03/2022      ,BAW21A  ,3-7 years NominalCre,000.0000,00000026821,00000024815.28, ,0009.33,00000027715.87,FI00
ARCPEN,CCT01 CITY OF CAPE TOWN 12.57% 23/06/,CCT01   ,3-7 years NominalCre,000.0000,00000001295,00000001470.10, ,0010.39,00000001437.66,FI00
ARCPEN,CCT02 CITY OF CAPE TOWN 11.615% 12/06,CCT02   ,3-7 years NominalCre,000.0000,00000080375,00000087932.94, ,0010.39,00000086588.04,FI00
ARCPEN,STANDARD BANK CLN ESKOM 10.55% 20/03/,CLN362  ,3-7 years NominalCre,000.0000,00000026821,00000025855.56, ,0009.97,00000028647.41,FI00
ARCPEN,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00000308439,00000321462.21, ,0009.49,00000332894.18,FI00
ARCPEN,CITY OF JHB METRO 10.18% 09/06/2024  ,COJG01  ,3-7 years NominalCre,000.0000,00000761030,00000759900.07, ,0009.86,00000785644.83,FI00
ARCPEN,CITY OF TSHWANE 9.110% 03/04/2023    ,COT01   ,3-7 years NominalCre,000.0000,00000414127,00000383631.24, ,0010.04,00000410996.81,FI00
ARCPEN,DEVELOPMENT BANK OF SA 9.03% 18/06/20,DV2021  ,3-7 years NominalCre,000.0000,00000202434,00000201337.38, ,0009.05,00000204861.26,FI00
ARCPEN,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00000044929,00000044636.60, ,0009.45,00000047995.93,FI00
ARCPEN,DEVELOPMENT BANK OF SA 9.69% 18/02/20,DV24    ,3-7 years NominalCre,000.0000,00000149868,00000146269.55,X,0009.57,00000150374.79,FI00
ARCPEN,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000016787,00000016771.66, ,0008.78,00000016841.58,FI02
ARCPEN,LIBERTY GROUP LIMITED 9.165% 14/08/20,LGL04   ,3-7 years NominalCre,000.0000,00000278202,00000273536.69,X,0009.23,00000277392.16,FI00
ARCPEN,MMI GROUP LTD 10.065% 17/03/2021     ,MMIG02A ,3-7 years NominalCre,000.0000,00000313576,00000314220.18, ,0009.18,00000334316.17,FI00
ARCPEN,MMI GROUP LTD 10.86% 12/08/2022      ,MMIG05  ,3-7 years NominalCre,000.0000,00000255778,00000240844.45,X,0010.15,00000262552.74,FI00
ARCPEN,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00000000803,00000000800.36, ,0008.50,00000000826.69,FI00
ARCPEN,NEDBANK ESKOM CLN 10.49% 20/03/2024  ,NCLN85  ,3-7 years NominalCre,000.0000,00000032185,00000031049.04, ,0010.34,00000033707.48,FI00
ARCPEN,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00000490639,00000584681.07, ,0009.18,00000568423.19,FI00
ARCPEN,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00000176788,00000164643.93, ,0010.48,00000182822.39,FI00
ARCPEN,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00000207526,00000202848.78, ,0010.47,00000220035.75,FI00
ARCPEN,RAND WATER 9.97% 21/04/2021          ,RW21    ,3-7 years NominalCre,000.0000,00000006242,00000006406.60, ,0009.15,00000006585.09,FI00
ARCPEN,RAND WATER 9.51% 10/12/2023          ,RW23    ,3-7 years NominalCre,000.0000,00000416146,00000414272.24, ,0009.58,00000421172.71,FI00
ARCPEN,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000026824,00000026282.47, ,0008.36,00000028757.20,FI00
ARCPEN,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00000309294,00000307111.25, ,0009.15,00000338647.70,FI00
ARCPEN,STD 8.60% 16/11/2021                 ,SBS4    ,3-7 years NominalCre,000.0000,00000248537,00000223233.62, ,0008.80,00000251678.78,FI00
ARCPEN,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00000235641,00000256491.75, ,0008.76,00000256296.06,FI00
ARCPEN,TRANSNET LIMITED 10.80% 06/11/2023   ,TN23    ,3-7 years NominalCre,000.0000,00000248371,00000267460.30, ,0009.42,00000271126.40,FI00
ARCPEN,UMGENI 10.70% 020321                 ,UG21    ,3-7 years NominalCre,000.0000,00000105526,00000113198.09, ,0009.08,00000115533.19,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00006414846,00006293436.23, ,       ,00006368638.79,
ARCPEN,ABSA 8.80% 11/09/2026                ,ABS7    ,7-12 years NominalCr,000.0000,00000190245,00000172917.42, ,0009.91,00000184618.77,FI00
ARCPEN,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00000761582,00000803753.18, ,0010.46,00000822847.08,FI00
ARCPEN,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00000251652,00000252413.78, ,0010.56,00000268130.77,FI00
ARCPEN,DEVELOPMENT BANK OF SA 10.10% 18/02/2,DV29    ,7-12 years NominalCr,000.0000,00000456612,00000450444.74,X,0011.02,00000428449.13,FI00
ARCPEN,EKURULNI METROPOLITAN MUNICIPALITY 10,EMM06A  ,7-12 years NominalCr,000.0000,00000368666,00000366648.60, ,0010.37,00000371033.16,FI00
ARCPEN,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00000047433,00000047883.25, ,0009.20,00000052117.92,FI00
ARCPEN,INDUSTRIAL DEVELOPMENT CORPORATION 9.,IDCG06  ,7-12 years NominalCr,000.0000,00000362896,00000327838.18, ,0010.41,00000354363.63,FI00
ARCPEN,KOMATI RIVER BASIN AUTHORITY 13.50% 3,KW01    ,7-12 years NominalCr,000.0000,00000000964,00000001193.84, ,0008.96,00000001288.54,FI00
ARCPEN,NEDBANK LIMITED 9.440% 12/02/2025    ,NBK16A  ,7-12 years NominalCr,000.0000,00000221054,00000217335.15,X,0010.26,00000211552.04,FI00
ARCPEN,NEDBANK 10.36% 01/06/2026            ,NBK20A  ,7-12 years NominalCr,000.0000,00000914025,00000875909.54, ,0009.96,00000952733.23,FI00
ARCPEN,NEDBANK LIMITED 10.50% 31/07/2026    ,NBK29A  ,7-12 years NominalCr,000.0000,00000786868,00000786868.00, ,0010.26,00000799758.16,FI00
ARCPEN,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA028  ,7-12 years NominalCr,000.0000,00000296436,00000315608.52, ,0011.06,00000325723.73,FI00
ARCPEN,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML10   ,7-12 years NominalCr,000.0000,00000394743,00000390955.89, ,0011.46,00000410409.28,FI00
ARCPEN,RAND WATER 10.245% 10/12/2028        ,RW28    ,7-12 years NominalCr,000.0000,00000726846,00000695296.08, ,0010.92,00000707366.82,FI00
ARCPEN,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00000606925,00000604112.72, ,0009.67,00000634612.07,FI00
ARCPEN,STD 8.2% 25/05/2026                  ,SBS3    ,7-12 years NominalCr,000.0000,00000547652,00000472944.24, ,0009.84,00000504881.75,FI00
ARCPEN,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00001127282,00001096190.56, ,0009.89,00001137137.38,FI00
ARCPEN,STD BANK 10.64% 12/11/2025           ,SBS42   ,7-12 years NominalCr,000.0000,00000778221,00000776470.39, ,0009.52,00000847328.35,FI00
ARCPEN,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00000419464,00000412264.00, ,0010.40,00000418039.08,FI00
ARCPEN,TRANSNET LIMITED 8.90% 14/11/2027    ,TN27    ,7-12 years NominalCr,000.0000,00000356621,00000329658.16, ,0010.55,00000327659.74,FI00
ARCPEN,UG26 UMGENI WATER 11.31% 09/03/2026  ,UG26    ,7-12 years NominalCr,000.0000,00001194137,00001194137.00, ,0010.53,00001301850.55,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00010810324,00010590843.24, ,       ,00011061901.18,
ARCPEN,AFRICAN BANK LIMITED CPI 3.20% 13/10/,ABKI03M7,3-7 years Credit IL ,000.0000,00000810400,00000810745.24, ,0007.66,00000886464.31,FI04
ARCPEN,SA NATIONAL ROAD AGENCY LTD 5.00% 31/,NRA023M7,3-7 years Credit IL ,000.0000,00000881135,00001554716.36, ,0003.64,00001542795.13,FI04
ARCPEN,STANDARD BANK 5.5% CPI LINKED NOTE 07,SBSI11M7,3-7 years Credit IL ,000.0000,00002047845,00005697137.56, ,0003.89,00005601046.32,FI04
**TOTAL 3-7 years Credit IL                                            ,,,,000.0000,00003739380,00008062599.16, ,       ,00008030305.76,
ARCPEN,AIRPORTS COMPANY SOUTH AFRICA CPI BON,AIRL01M7,7-12 years Credit IL,000.0000,00002975355,00005103468.14, ,0003.48,00005229638.07,FI04
ARCPEN,FIRSTRAND BANK CPI LINKED 2% 31/01/20,FRBI25M7,7-12 years Credit IL,000.0000,00000616902,00000717582.37, ,0003.58,00000730935.90,FI04
**TOTAL 7-12 years Credit IL                                           ,,,,000.0000,00003592257,00005821050.51, ,       ,00005960573.97,
ARCPEN,FIRSTRAND BANK CPI 2.25% 31/01/2038  ,FRS119M7,Over 12 years CredIL,000.0000,00001069613,00001165615.59, ,0003.33,00001188517.71,FI04
ARCPEN,FIRSTRAND BANK CPI 2.25% 31/01/2038  ,FRS136M7,Over 12 years CredIL,000.0000,00001269390,00001114252.39, ,0003.76,00001317389.57,FI04
**TOTAL Over 12 years CredIL                                           ,,,,000.0000,00002339003,00002279867.98, ,       ,00002505907.28,
ARCPEN,STANDARD CHARTER - Net Settlements   ,STANCH01,Current Account     ,        ,           ,              , ,       ,00000679915.27,ZL06
